,journal,,,,,,,,,,,,,
163,Genes & cancer,,,,,,,,,,,,,0
164,Archives of gynecology and obstetrics,,,,,,,,,,,,,2.35
165,Cellular oncology (Dordrecht),,,,,,,,,,,,,5.3
166,Otolaryngology--head and neck surgery : official journal of American Academy of Otolaryngology-Head and Neck Surgery,,,,,,,,,,,,,0
167,Experimental dermatology,,,,,,,,,,,,,4.16
168,Experimental and clinical transplantation : official journal of the Middle East Society for Organ Transplantation,,,,,,,,,,,,,0.63
169,International journal of biological sciences,,,,,,,,,,,,,4.7
170,Current opinion in otolaryngology & head and neck surgery,,,,,,,,,,,,,1.6
171,Molecular cancer,,,,,,,,,,,,,16.95
172,Analytical chemistry,,,,,,,,,,,,,6.78
173,Expert review of gastroenterology & hepatology,,,,,,,,,,,,,3.65
174,Brazilian journal of otorhinolaryngology,,,,,,,,,,,,,1.4
